序號	民國年月	20歲	21-30歲	31-40歲	41-50歲	51-60歲	60歲	合計
1	11212	249	23257	35643	28647	4206	298	92300
2	11206	213	23375	36506	27248	4387	267	91996
3	11112	297	24033	37553	26628	3841	249	92601
4	11106	191	20027	38527	28489	4127	322	91683
5	11012	156	17903	36457	25757	3484	293	84050
6	11006	108	12139	39497	25798	3242	256	81040
7	10912	99	12551	39699	24511	2905	256	80021
8	10906	84	13196	39550	22409	2564	222	78025
9	10812	117	13422	40120	20833	2279	210	76981
10	10806	252	17764	39050	15457	1519	152	74194
11	10712	107	15455	39817	17037	1752	183	74351
12	10706	307	20570	39794	12816	1197	133	74817
